"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
1.3 80 "LIN" 0 74 148 "LIN" FALSE ""
1.5 100 "EXP" 0.1 9 149 "EXP" FALSE ""
0.5 20 "LIN" 0.2 98 150 "LIN" FALSE ""
2.5 100 "EXP" 0.2 68 151 "EXP" FALSE ""
0.9 20 "EXP" 0.1 38 152 "EXP" FALSE ""
2 40 "LIN" 0.2 79 153 "LIN" FALSE ""
0.5 100 "EXP" 0.1 14 154 "EXP" FALSE ""
0.5 60 "LIN" 0.2 16 155 "LIN" FALSE ""
2.5 200 "EXP" 0.2 52 156 "EXP" FALSE ""
0.1 20 "LIN" 0.2 30 157 "LIN" FALSE ""
1.5 100 "EXP" 0.1 67 158 "LIN" FALSE ""
1.3 60 "EXP" 0.2 81 159 "EXP" FALSE ""
0.1 100 "LIN" 0.1 70 160 "LIN" FALSE ""
2 60 "LIN" 0.2 62 161 "LIN" FALSE ""
1.3 20 "LIN" 0.1 17 162 "LIN" FALSE ""
1.3 100 "EXP" 0.2 11 163 "EXP" FALSE ""
1.3 20 "EXP" 0.1 96 164 "EXP" FALSE ""
0.1 40 "LIN" 0.2 36 165 "LIN" FALSE ""
1.5 100 "LIN" 0 62 166 "LIN" FALSE ""
2.5 20 "LIN" 0.2 38 167 "EXP" FALSE ""
0.5 200 "EXP" 0.2 47 168 "EXP" FALSE ""
1.3 20 "LIN" 0.1 11 169 "LIN" FALSE ""
1.5 60 "LIN" 0 47 170 "LIN" FALSE ""
2 20 "LIN" 0.2 48 171 "LIN" FALSE ""
2 80 "LIN" 0.2 76 172 "LIN" FALSE ""
1.5 80 "LIN" 0.1 36 173 "LIN" FALSE ""
0.1 200 "EXP" 0.1 90 174 "EXP" FALSE ""
0.1 80 "EXP" 0 19 175 "EXP" FALSE ""
2 60 "EXP" 0.2 65 176 "EXP" FALSE ""
0.9 200 "EXP" 0.1 10 177 "EXP" FALSE ""
1.3 100 "LIN" 0.1 67 178 "LIN" FALSE ""
0.5 200 "LIN" 0 62 179 "LIN" FALSE ""
1.5 80 "LIN" 0.1 86 180 "LIN" FALSE ""
1.5 100 "LIN" 0 22 181 "LIN" FALSE ""
2 100 "LIN" 0.2 97 182 "EXP" FALSE ""
2 200 "LIN" 0 63 183 "EXP" FALSE ""
0.5 100 "EXP" 0.1 6 184 "LIN" FALSE ""
0.9 80 "LIN" 0.2 47 185 "LIN" FALSE ""
2.5 80 "LIN" 0.1 96 186 "EXP" FALSE ""
0.9 20 "LIN" 0 70 187 "LIN" FALSE ""
2 20 "LIN" 0 50 188 "LIN" FALSE ""
1.3 20 "LIN" 0.2 51 189 "EXP" FALSE ""
2.5 20 "EXP" 0.1 11 190 "LIN" FALSE ""
1.3 20 "EXP" 0.1 1 191 "LIN" FALSE ""
2.5 200 "LIN" 0 40 192 "LIN" FALSE ""
0.1 200 "EXP" 0 39 193 "EXP" FALSE ""
1.5 40 "EXP" 0.1 18 194 "LIN" FALSE ""
0.9 100 "LIN" 0.2 2 195 "LIN" FALSE ""
1.5 40 "LIN" 0.2 33 196 "LIN" FALSE ""
1.5 20 "EXP" 0 13 197 "LIN" FALSE ""
1.3 60 "LIN" 0.2 1 198 "LIN" FALSE ""
0.5 80 "LIN" 0 66 199 "LIN" FALSE ""
1.5 40 "LIN" 0.2 55 200 "LIN" FALSE ""
0.1 200 "EXP" 0.2 30 201 "EXP" FALSE ""
1.5 80 "LIN" 0.2 8 202 "LIN" FALSE ""
1.5 80 "LIN" 0 92 203 "LIN" FALSE ""
0.5 60 "EXP" 0.2 11 204 "LIN" FALSE ""
1.5 200 "EXP" 0.2 87 205 "LIN" FALSE ""
0.5 40 "EXP" 0.2 73 206 "EXP" FALSE ""
0.9 40 "LIN" 0 11 207 "EXP" FALSE ""
0.9 20 "LIN" 0.1 77 208 "LIN" FALSE ""
1.3 20 "EXP" 0.2 23 209 "LIN" FALSE ""
1.3 20 "LIN" 0 94 210 "LIN" FALSE ""
0.9 100 "EXP" 0 92 211 "EXP" FALSE ""
2 100 "LIN" 0.2 47 212 "LIN" FALSE ""
0.5 60 "LIN" 0.2 85 213 "LIN" FALSE ""
0.9 200 "EXP" 0.2 35 214 "EXP" FALSE ""
2.5 20 "EXP" 0.2 10 215 "LIN" FALSE ""
0.9 100 "EXP" 0 66 216 "EXP" FALSE ""
0.5 20 "EXP" 0 51 217 "LIN" FALSE ""
2 200 "LIN" 0.1 89 218 "EXP" FALSE ""
1.5 20 "LIN" 0.2 32 219 "LIN" FALSE ""
1.5 60 "EXP" 0 30 220 "EXP" FALSE ""
1.3 80 "LIN" 0.2 79 221 "LIN" FALSE ""
2.5 40 "EXP" 0.2 92 222 "LIN" FALSE ""
1.5 100 "LIN" 0.1 97 223 "LIN" FALSE ""
1.5 100 "EXP" 0.2 75 224 "LIN" FALSE ""
0.9 80 "EXP" 0 37 225 "EXP" FALSE ""
2 80 "EXP" 0 11 226 "LIN" FALSE ""
1.3 200 "EXP" 0 24 227 "EXP" FALSE ""
0.9 100 "EXP" 0.2 1 228 "EXP" FALSE ""
1.3 200 "EXP" 0 61 229 "EXP" FALSE ""
0.5 40 "EXP" 0.1 11 230 "EXP" FALSE ""
0.5 100 "EXP" 0 63 231 "LIN" FALSE ""
2.5 20 "LIN" 0 11 232 "LIN" FALSE ""
0.5 200 "LIN" 0 55 233 "LIN" FALSE ""
2 100 "EXP" 0.2 12 234 "EXP" FALSE ""
1.3 60 "EXP" 0.2 68 235 "LIN" FALSE ""
2 60 "LIN" 0 17 236 "EXP" FALSE ""
0.9 60 "EXP" 0 67 237 "EXP" FALSE ""
2 20 "EXP" 0.2 49 238 "EXP" FALSE ""
0.1 40 "EXP" 0.2 50 239 "EXP" FALSE ""
0.1 100 "LIN" 0 47 240 "LIN" FALSE ""
2 80 "LIN" 0.2 85 241 "LIN" FALSE ""
0.9 60 "EXP" 0.2 19 242 "LIN" FALSE ""
2 60 "EXP" 0 82 243 "EXP" FALSE ""
2 80 "LIN" 0.2 52 244 "LIN" FALSE ""
1.5 20 "EXP" 0.2 48 245 "EXP" FALSE ""
2.5 80 "LIN" 0.1 45 246 "EXP" FALSE ""
1.5 100 "LIN" 0.2 71 247 "LIN" FALSE ""
0.9 80 "EXP" 0.1 77 248 "EXP" FALSE ""
1.5 80 "LIN" 0 37 249 "LIN" FALSE ""
0.1 60 "EXP" 0.2 99 250 "EXP" FALSE ""
2 40 "EXP" 0.2 92 251 "LIN" FALSE ""
0.1 80 "EXP" 0.1 76 252 "EXP" FALSE ""
0.5 60 "LIN" 0.1 91 253 "LIN" FALSE ""
0.9 100 "EXP" 0.1 53 254 "EXP" FALSE ""
1.5 80 "LIN" 0.1 58 255 "LIN" FALSE ""
1.3 40 "LIN" 0.2 64 256 "LIN" FALSE ""
2 20 "LIN" 0.1 19 257 "LIN" FALSE ""
0.5 100 "LIN" 0.1 53 258 "LIN" FALSE ""
1.5 100 "EXP" 0 1 259 "EXP" FALSE ""
0.9 200 "LIN" 0.1 61 260 "LIN" FALSE ""
2.5 40 "LIN" 0 25 261 "LIN" FALSE ""
0.9 100 "EXP" 0.2 72 262 "LIN" FALSE ""
0.5 40 "EXP" 0 20 263 "EXP" FALSE ""
0.9 100 "EXP" 0.2 29 264 "LIN" FALSE ""
0.5 200 "LIN" 0.1 81 265 "LIN" FALSE ""
0.1 80 "EXP" 0 21 266 "LIN" FALSE ""
2.5 80 "EXP" 0.2 26 267 "LIN" FALSE ""
2.5 60 "EXP" 0.1 64 268 "LIN" FALSE ""
1.3 60 "EXP" 0.2 28 269 "EXP" FALSE ""
2 100 "EXP" 0 100 270 "EXP" FALSE ""
0.9 80 "EXP" 0.1 64 271 "EXP" FALSE ""
1.3 100 "LIN" 0 49 272 "LIN" FALSE ""
1.3 200 "LIN" 0.2 91 273 "LIN" FALSE ""
0.1 100 "LIN" 0.1 99 274 "LIN" FALSE ""
0.1 20 "LIN" 0 26 275 "LIN" FALSE ""
2.5 200 "EXP" 0.1 96 276 "LIN" FALSE ""
1.5 200 "LIN" 0.1 4 277 "LIN" FALSE ""
0.5 80 "EXP" 0.1 13 278 "EXP" FALSE ""
2 80 "LIN" 0 97 279 "LIN" FALSE ""
1.5 60 "LIN" 0.1 83 280 "LIN" FALSE ""
2.5 20 "EXP" 0 68 281 "EXP" FALSE ""
1.3 40 "EXP" 0.1 1 282 "LIN" FALSE ""
1.5 80 "LIN" 0 15 283 "EXP" FALSE ""
2.5 100 "EXP" 0.2 65 284 "LIN" FALSE ""
0.1 20 "LIN" 0.1 80 285 "LIN" FALSE ""
2 200 "EXP" 0 88 286 "EXP" FALSE ""
0.1 100 "EXP" 0.2 56 287 "EXP" FALSE ""
2 40 "LIN" 0.2 78 288 "LIN" FALSE ""
0.1 80 "LIN" 0.1 41 289 "LIN" FALSE ""
1.3 60 "EXP" 0.2 53 290 "EXP" FALSE ""
0.1 80 "LIN" 0.2 52 291 "LIN" FALSE ""
0.1 40 "LIN" 0 67 292 "LIN" FALSE ""
0.5 40 "LIN" 0.1 74 293 "LIN" FALSE ""
2.5 60 "EXP" 0.1 52 294 "EXP" FALSE ""
0.5 40 "EXP" 0.2 65 295 "EXP" FALSE ""
2.5 20 "LIN" 0.2 76 296 "LIN" FALSE ""
2.5 200 "EXP" 0.1 66 297 "LIN" FALSE ""
0.1 20 "EXP" 0.2 1 298 "EXP" FALSE ""
2.5 60 "LIN" 0.1 85 299 "EXP" FALSE ""
2 40 "LIN" 0 72 300 "LIN" FALSE ""
1.3 40 "EXP" 0.2 67 301 "LIN" FALSE ""
0.9 20 "LIN" 0 32 302 "LIN" FALSE ""
2.5 40 "LIN" 0.2 66 303 "LIN" FALSE ""
2.5 20 "LIN" 0 51 304 "LIN" FALSE ""
1.5 100 "EXP" 0 38 305 "EXP" FALSE ""
0.9 20 "EXP" 0 96 306 "EXP" FALSE ""
0.9 60 "EXP" 0.2 98 307 "EXP" FALSE ""
1.3 200 "LIN" 0.1 99 308 "EXP" FALSE ""
0.9 40 "EXP" 0 87 309 "LIN" FALSE ""
0.5 40 "LIN" 0.2 8 310 "LIN" FALSE ""
2.5 20 "EXP" 0 76 311 "LIN" FALSE ""
1.3 20 "EXP" 0.2 57 312 "EXP" FALSE ""
2 20 "LIN" 0.2 64 313 "LIN" FALSE ""
2.5 40 "EXP" 0.2 25 314 "EXP" FALSE ""
2.5 40 "EXP" 0.2 46 315 "LIN" FALSE ""
2 40 "LIN" 0 38 316 "LIN" FALSE ""
0.5 100 "LIN" 0.2 99 317 "LIN" FALSE ""
1.3 100 "EXP" 0 81 318 "LIN" FALSE ""
1.5 200 "EXP" 0.2 25 319 "LIN" FALSE ""
0.1 20 "LIN" 0.2 18 320 "LIN" FALSE ""
2.5 60 "EXP" 0 68 321 "LIN" FALSE ""
0.9 100 "LIN" 0.2 88 322 "LIN" FALSE ""
0.9 20 "LIN" 0 28 323 "EXP" FALSE ""
0.9 20 "EXP" 0.1 78 324 "LIN" FALSE ""
1.5 20 "LIN" 0.2 37 325 "LIN" FALSE ""
1.3 60 "EXP" 0.2 35 326 "LIN" FALSE ""
2.5 60 "LIN" 0 40 327 "LIN" FALSE ""
0.1 80 "LIN" 0.1 5 328 "LIN" FALSE ""
2.5 60 "EXP" 0.1 15 329 "LIN" FALSE ""
2.5 60 "EXP" 0 59 330 "EXP" FALSE ""
2.5 100 "EXP" 0.2 21 331 "EXP" FALSE ""
1.5 80 "EXP" 0.1 25 332 "EXP" FALSE ""
2.5 60 "EXP" 0.2 49 333 "EXP" FALSE ""
0.9 100 "LIN" 0.1 16 334 "LIN" FALSE ""
1.3 100 "EXP" 0 53 335 "EXP" FALSE ""
2.5 20 "EXP" 0 44 336 "LIN" FALSE ""
2.5 80 "EXP" 0.2 69 337 "LIN" FALSE ""
2 80 "EXP" 0.2 22 338 "LIN" FALSE ""
0.5 40 "EXP" 0 31 339 "EXP" FALSE ""
0.1 60 "EXP" 0 67 340 "EXP" FALSE ""
0.9 80 "LIN" 0.1 53 341 "LIN" FALSE ""
1.5 80 "LIN" 0.2 97 342 "EXP" FALSE ""
1.5 40 "EXP" 0 45 343 "LIN" FALSE ""
2.5 40 "EXP" 0.1 94 344 "LIN" FALSE ""
0.9 60 "LIN" 0.1 44 345 "LIN" FALSE ""
2 100 "EXP" 0 86 346 "EXP" FALSE ""
0.1 200 "EXP" 0 10 347 "EXP" FALSE ""
1.5 20 "LIN" 0 47 348 "LIN" FALSE ""
2 200 "LIN" 0.2 3 349 "LIN" FALSE ""
2.5 20 "EXP" 0.1 19 350 "LIN" FALSE ""
0.1 40 "EXP" 0.1 70 351 "EXP" FALSE ""
2.5 80 "EXP" 0.1 72 352 "LIN" FALSE ""
1.5 100 "LIN" 0.2 18 353 "LIN" FALSE ""
0.5 60 "EXP" 0 70 354 "LIN" FALSE ""
0.5 60 "LIN" 0 31 355 "LIN" FALSE ""
0.9 200 "EXP" 0.1 9 356 "EXP" FALSE ""
1.5 80 "EXP" 0 63 357 "LIN" FALSE ""
0.1 20 "LIN" 0.1 86 358 "EXP" FALSE ""
0.9 60 "LIN" 0.1 98 359 "LIN" FALSE ""
1.3 20 "LIN" 0 47 360 "LIN" FALSE ""
0.5 20 "LIN" 0 40 361 "LIN" FALSE ""
2.5 100 "EXP" 0.2 76 362 "EXP" FALSE ""
2 100 "LIN" 0.2 19 363 "EXP" FALSE ""
0.9 40 "EXP" 0 54 364 "EXP" FALSE ""
2 60 "EXP" 0.2 47 365 "EXP" FALSE ""
1.3 80 "LIN" 0 100 366 "LIN" FALSE ""
2 200 "LIN" 0.1 47 367 "LIN" FALSE ""
2 40 "EXP" 0.1 52 368 "EXP" FALSE ""
1.5 60 "LIN" 0.1 87 369 "LIN" FALSE ""
2 200 "EXP" 0.1 73 370 "LIN" FALSE ""
2.5 20 "EXP" 0.1 78 371 "LIN" FALSE ""
1.5 40 "EXP" 0.2 70 372 "LIN" FALSE ""
0.9 80 "LIN" 0.1 78 373 "LIN" FALSE ""
2.5 100 "EXP" 0.2 96 374 "EXP" FALSE ""
2.5 80 "LIN" 0 3 375 "LIN" FALSE ""
0.9 60 "EXP" 0.2 24 376 "EXP" FALSE ""
1.3 200 "LIN" 0 98 377 "LIN" FALSE ""
2 100 "LIN" 0.2 13 378 "LIN" FALSE ""
1.5 200 "EXP" 0.2 19 379 "EXP" FALSE ""
1.5 200 "LIN" 0.1 74 380 "LIN" FALSE ""
2 40 "LIN" 0.1 11 381 "LIN" FALSE ""
0.9 60 "EXP" 0.2 40 382 "EXP" FALSE ""
0.5 40 "EXP" 0 9 383 "LIN" FALSE ""
2 80 "EXP" 0.1 20 384 "LIN" FALSE ""
1.3 40 "EXP" 0 80 385 "LIN" FALSE ""
0.9 60 "EXP" 0.1 46 386 "EXP" FALSE ""
1.5 60 "LIN" 0.1 46 387 "EXP" FALSE ""
1.3 40 "LIN" 0.1 20 388 "LIN" FALSE ""
1.5 80 "EXP" 0.1 51 389 "LIN" FALSE ""
0.5 200 "EXP" 0.1 37 390 "LIN" FALSE ""
1.3 20 "LIN" 0.2 62 391 "EXP" FALSE ""
1.5 100 "EXP" 0 63 392 "EXP" FALSE ""
0.9 200 "EXP" 0.1 91 393 "LIN" FALSE ""
0.9 60 "LIN" 0.2 22 394 "LIN" FALSE ""
2 40 "LIN" 0 63 395 "LIN" FALSE ""
0.9 200 "EXP" 0 84 396 "EXP" FALSE ""
0.1 20 "LIN" 0.2 14 397 "LIN" FALSE ""
0.9 20 "EXP" 0.1 55 398 "LIN" FALSE ""
2.5 20 "EXP" 0.1 30 399 "LIN" FALSE ""
0.5 60 "LIN" 0 75 400 "LIN" FALSE ""
1.3 80 "EXP" 0.1 77 401 "EXP" FALSE ""
2 200 "LIN" 0.2 9 402 "LIN" FALSE ""
1.5 40 "LIN" 0.2 62 403 "LIN" FALSE ""
0.1 20 "LIN" 0 23 404 "LIN" FALSE ""
0.1 60 "EXP" 0.2 6 405 "EXP" FALSE ""
2 80 "LIN" 0 7 406 "LIN" FALSE ""
0.1 80 "LIN" 0 48 407 "LIN" FALSE ""
0.1 20 "EXP" 0 63 408 "LIN" FALSE ""
1.5 40 "EXP" 0 68 409 "LIN" FALSE ""
1.5 40 "LIN" 0.2 2 410 "LIN" FALSE ""
1.5 200 "LIN" 0.2 16 411 "LIN" FALSE ""
0.1 60 "LIN" 0.1 13 412 "LIN" FALSE ""
2 40 "EXP" 0.2 93 413 "EXP" FALSE ""
0.1 200 "LIN" 0.2 19 414 "LIN" FALSE ""
0.9 40 "LIN" 0.1 20 415 "EXP" FALSE ""
0.9 40 "EXP" 0.2 4 416 "EXP" FALSE ""
0.1 200 "EXP" 0.2 52 417 "EXP" FALSE ""
0.1 60 "LIN" 0 10 418 "LIN" FALSE ""
0.9 80 "EXP" 0.1 76 419 "EXP" FALSE ""
