"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
1.3 80 "EXP" 0 22 259 "EXP" FALSE ""
0.5 20 "EXP" 0 88 260 "EXP" FALSE ""
0.9 80 "LIN" 0.2 75 261 "LIN" FALSE ""
1.3 60 "EXP" 0.1 36 262 "EXP" FALSE ""
0.5 40 "LIN" 0 15 263 "LIN" FALSE ""
1.3 100 "LIN" 0.2 2 264 "EXP" FALSE ""
0.1 40 "EXP" 0.2 5 265 "EXP" FALSE ""
2 20 "LIN" 0.1 2 266 "LIN" FALSE ""
0.5 200 "EXP" 0.2 11 267 "EXP" FALSE ""
0.1 100 "EXP" 0 63 268 "EXP" FALSE ""
1.5 40 "EXP" 0.2 52 269 "LIN" FALSE ""
1.5 40 "EXP" 0 95 270 "EXP" FALSE ""
0.5 200 "EXP" 0.2 67 271 "EXP" FALSE ""
1.3 60 "EXP" 0.1 40 272 "LIN" FALSE ""
1.5 200 "LIN" 0.2 42 273 "LIN" FALSE ""
0.1 80 "EXP" 0 48 274 "EXP" FALSE ""
1.5 20 "EXP" 0.2 20 275 "EXP" FALSE ""
0.5 200 "LIN" 0.2 13 276 "LIN" FALSE ""
2 200 "EXP" 0.1 97 277 "LIN" FALSE ""
2 200 "LIN" 0.2 19 278 "LIN" FALSE ""
1.3 80 "EXP" 0.1 85 279 "EXP" FALSE ""
2.5 100 "EXP" 0.2 89 280 "EXP" FALSE ""
2.5 20 "EXP" 0.2 8 281 "EXP" FALSE ""
1.5 40 "EXP" 0.2 90 282 "EXP" FALSE ""
2.5 200 "EXP" 0.1 3 283 "EXP" FALSE ""
2 100 "LIN" 0 83 284 "EXP" FALSE ""
1.5 100 "EXP" 0 27 285 "LIN" FALSE ""
1.5 80 "EXP" 0.1 84 286 "EXP" FALSE ""
0.5 20 "EXP" 0.1 1 287 "EXP" FALSE ""
0.9 60 "LIN" 0 22 288 "LIN" FALSE ""
0.9 60 "LIN" 0.2 24 289 "LIN" FALSE ""
0.5 100 "EXP" 0 5 290 "EXP" FALSE ""
1.5 200 "LIN" 0.2 73 291 "LIN" FALSE ""
2.5 60 "LIN" 0.2 97 292 "EXP" FALSE ""
1.5 200 "LIN" 0.1 35 293 "LIN" FALSE ""
0.5 100 "LIN" 0 72 294 "LIN" FALSE ""
2.5 20 "EXP" 0.2 38 295 "LIN" FALSE ""
1.3 20 "EXP" 0.2 50 296 "LIN" FALSE ""
2.5 40 "EXP" 0.1 86 297 "LIN" FALSE ""
1.3 40 "LIN" 0 45 298 "LIN" FALSE ""
1.5 80 "LIN" 0 2 299 "LIN" FALSE ""
0.1 40 "LIN" 0.1 61 300 "LIN" FALSE ""
0.9 40 "LIN" 0.1 56 301 "LIN" FALSE ""
0.9 100 "LIN" 0 85 302 "LIN" FALSE ""
2 200 "LIN" 0 55 303 "EXP" FALSE ""
0.1 80 "LIN" 0 83 304 "LIN" FALSE ""
0.1 100 "LIN" 0.1 100 305 "LIN" FALSE ""
0.1 20 "EXP" 0.1 92 306 "EXP" FALSE ""
2 100 "EXP" 0.2 34 307 "LIN" FALSE ""
0.1 60 "EXP" 0 26 308 "EXP" FALSE ""
2.5 200 "LIN" 0.2 44 309 "EXP" FALSE ""
2 20 "EXP" 0.2 71 310 "EXP" FALSE ""
2 60 "LIN" 0 21 311 "LIN" FALSE ""
0.5 80 "EXP" 0.1 100 312 "EXP" FALSE ""
0.9 40 "EXP" 0.2 60 313 "EXP" FALSE ""
1.5 60 "LIN" 0 79 314 "LIN" FALSE ""
0.5 40 "EXP" 0.2 35 315 "EXP" FALSE ""
0.1 20 "EXP" 0.1 88 316 "EXP" FALSE ""
1.3 100 "LIN" 0 98 317 "LIN" FALSE ""
0.1 200 "EXP" 0 69 318 "EXP" FALSE ""
0.1 20 "LIN" 0.1 41 319 "LIN" FALSE ""
1.3 200 "LIN" 0.1 21 320 "LIN" FALSE ""
2.5 100 "LIN" 0.2 29 321 "LIN" FALSE ""
2.5 40 "EXP" 0.1 50 322 "LIN" FALSE ""
1.5 100 "LIN" 0.1 75 323 "EXP" FALSE ""
1.3 100 "LIN" 0 20 324 "EXP" FALSE ""
2.5 60 "LIN" 0.1 17 325 "LIN" FALSE ""
0.1 200 "EXP" 0 29 326 "EXP" FALSE ""
2 40 "LIN" 0 72 327 "LIN" FALSE ""
1.5 20 "LIN" 0.2 61 328 "LIN" FALSE ""
0.5 80 "EXP" 0.1 9 329 "EXP" FALSE ""
1.5 100 "EXP" 0 43 330 "EXP" FALSE ""
0.9 100 "LIN" 0.2 73 331 "EXP" FALSE ""
1.5 20 "LIN" 0.1 58 332 "LIN" FALSE ""
1.3 60 "LIN" 0.2 95 333 "LIN" FALSE ""
0.5 60 "EXP" 0 33 334 "LIN" FALSE ""
1.3 20 "LIN" 0.1 78 335 "EXP" FALSE ""
2 60 "EXP" 0.2 41 336 "LIN" FALSE ""
0.5 80 "LIN" 0.2 44 337 "LIN" FALSE ""
0.1 60 "LIN" 0.1 71 338 "LIN" FALSE ""
2 80 "EXP" 0 45 339 "EXP" FALSE ""
1.3 40 "EXP" 0.2 11 340 "EXP" FALSE ""
0.9 20 "EXP" 0.1 37 341 "EXP" FALSE ""
2.5 40 "LIN" 0 59 342 "LIN" FALSE ""
0.5 20 "LIN" 0.1 90 343 "EXP" FALSE ""
1.3 200 "LIN" 0.1 66 344 "EXP" FALSE ""
0.9 100 "LIN" 0.2 9 345 "LIN" FALSE ""
